case,label,config,exists,path,human_point_count,human_bbox_x,human_bbox_y,human_bbox_z,human_z_range,human_side_thickness,human_front_back_thickness,human_pca_range_1,human_pca_range_2,human_pca_range_3,human_pca_thickness_ratio,human_eigen_ratio_small_large,human_z_iqr,human_z_p95_p05,human_xy_occupancy_bins_16,full_point_count,full_bbox_x,full_bbox_y,full_bbox_z,full_z_range,full_side_thickness,full_front_back_thickness,full_pca_range_1,full_pca_range_2,full_pca_range_3,full_pca_thickness_ratio,full_eigen_ratio_small_large,full_z_iqr,full_z_p95_p05,full_xy_occupancy_bins_16,head_hair_points,head_hair_thickness,head_hair_z_range,head_hair_continuity,shoulder_neck_points,shoulder_neck_thickness,shoulder_neck_z_range,shoulder_neck_continuity,hand_arm_points,hand_arm_thickness,hand_arm_z_range,hand_arm_continuity,clothing_points,clothing_thickness,clothing_z_range,clothing_continuity,leg_foot_points,leg_foot_thickness,leg_foot_z_range,leg_foot_continuity
0012_11_frame001,baseline,real_vggt_baseline_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,60000,0.2424020804464817,0.574390709400177,0.20359379053115845,0.20359379053115845,0.2424020804464817,0.20359379053115845,0.5834408353659442,0.24235528366719924,0.20903214134073989,0.35827478755344805,0.01671019408736304,0.025312483310699463,0.05906248092651367,184,84000,1.5499999523162842,1.0436266660690308,0.20359379053115845,0.20359379053115845,1.0436266660690308,0.20359379053115845,1.1775160449302644,1.689657440426212,0.26764888047962393,0.22729956133674153,0.021414720589212486,0.045937538146972656,0.10781252384185791,178,5119,0.1850755973111435,0.057812511920928955,0.71875,5570,0.2289781073966452,0.07625001668930054,0.38671875,19047,0.3537470346915442,0.19953125715255737,0.3671875,10817,0.1871004120461513,0.08312499523162842,0.51953125,32737,0.5860631401932409,0.20359379053115845,0.71484375
0012_11_frame001,candidate,candidate,True,D:\vggt\vggt-canonical-surfel-adapter\output\V10190000000000000000_thickness_aware_geometry_candidate\0012_11_frame001\thickness_aware_geometry_candidate\predictions.npz,60000,0.2424020804464817,0.574390709400177,0.21788209676742554,0.21788209676742554,0.2424020804464817,0.21788209676742554,0.5834223148611554,0.24176509693480386,0.22703819847609133,0.3891489795520121,0.019678370639552002,0.027656197547912598,0.06125003099441528,185,84000,1.5499999523162842,1.0436266660690308,0.21788209676742554,0.21788209676742554,1.0436266660690308,0.21788209676742554,1.1774500631149214,1.689780596946719,0.2673361605019663,0.2270467078618465,0.022288066830878465,0.04749995470046997,0.11031246185302734,178,5119,0.3240561129592455,0.09162700176239014,0.70703125,5570,0.29910421769693507,0.09329509735107422,0.39453125,19047,0.38754718050109244,0.21475714445114136,0.3671875,10817,0.2811991796853962,0.11414593458175659,0.5234375,32737,0.638531655185033,0.21788209676742554,0.71875
0012_11_frame001,posthoc,posthoc_surfel_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\posthoc_surfel_only\predictions.npz,60000,0.25880640745162964,0.5861755013465881,0.20359379053115845,0.20359379053115845,0.25880640745162964,0.20359379053115845,0.5965978745502429,0.26137423409941796,0.21057001292558136,0.35295132937629675,0.01646345383770304,0.025312483310699463,0.05906248092651367,181,84000,1.5499999523162842,1.0556266605854034,0.20359379053115845,0.20359379053115845,1.0556266605854034,0.20359379053115845,1.183313432581476,1.6840375491625297,0.26699487587662996,0.22563326716756954,0.0213534406810008,0.045937538146972656,0.10781252384185791,176,5119,0.19359575328110767,0.057812511920928955,0.671875,5570,0.23411333601548565,0.07625001668930054,0.45703125,19047,0.3462353126049509,0.19953125715255737,0.37890625,10817,0.20255077325802884,0.08312499523162842,0.546875,32737,0.5781845469605689,0.20359379053115845,0.6953125
0012_11_frame001,same_topology,same_topology_no_semantic,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\same_topology_no_semantic\predictions.npz,60000,0.25537626445293427,0.5429214835166931,0.08434653282165527,0.08434653282165527,0.25537626445293427,0.08434653282165527,0.5424407076284808,0.25815728708718433,0.08537819354671586,0.15739636119859873,0.008973168734849346,0.0173722505569458,0.042330524325370766,179,84000,1.5499999523162842,1.089700162410736,0.22803640365600586,0.22803640365600586,1.089700162410736,0.22803640365600586,1.244032206439597,1.704157601765091,0.23467837702746036,0.18864332917803361,0.019468425662024152,0.025509178638458252,0.10742170214653013,170,5119,0.1527512399429617,0.08092480897903442,0.671875,5570,0.15216493128757216,0.08151352405548096,0.69140625,19047,0.15416508832294176,0.084042489528656,0.69140625,10817,0.15386848037111278,0.08335185050964355,0.68359375,32737,0.15578253097748337,0.08427536487579346,0.6953125
0012_11_frame001,tiny,tiny_synthetic_token_control,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\tiny_synthetic_token_control\predictions.npz,60000,0.2693428099155426,0.574390709400177,0.20359379053115845,0.20359379053115845,0.2693428099155426,0.20359379053115845,0.5863362672261925,0.27083866651193955,0.21001660896412952,0.35818457888962696,0.01669086222981672,0.025312483310699463,0.05906248092651367,178,84000,1.5499999523162842,1.0436266660690308,0.20359379053115845,0.20359379053115845,1.0436266660690308,0.20359379053115845,1.1668550817049526,1.6796277804205453,0.267867381326389,0.22956353837444324,0.021467031240905987,0.045937538146972656,0.10781252384185791,178,5119,0.19243532390341087,0.057812511920928955,0.50390625,5570,0.23513542265501336,0.07625001668930054,0.3984375,19047,0.35022296781707996,0.19953125715255737,0.39453125,10817,0.18872235331411202,0.08312499523162842,0.4921875,32737,0.5867431580740716,0.20359379053115845,0.66015625
0012_11_frame001,shuffled,shuffled_smpl_feature,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\shuffled_smpl_feature\predictions.npz,60000,0.27140556275844574,0.6385838389396667,0.26211702823638916,0.26211702823638916,0.27140556275844574,0.26211702823638916,0.6427574973565244,0.26507765012775936,0.2751425527977823,0.42806587854574085,0.022366011756291333,0.0234375,0.06114857196807866,191,84000,1.5499999523162842,1.1078197956085205,0.26211702823638916,0.26211702823638916,1.1078197956085205,0.26211702823638916,1.2499822203525157,1.695417138804455,0.2732788397724517,0.21862618149511162,0.023159850195179903,0.04296875,0.109375,174,5119,0.4317497490625552,0.2404499053955078,0.65234375,5570,0.4351418698831184,0.2359752058982849,0.62890625,19047,0.48061394258160167,0.2593045234680176,0.7421875,10817,0.43499124471012107,0.2359752058982849,0.6796875,32737,0.2290170797897007,0.14484375715255737,0.7109375
0013_01_frame001,baseline,real_vggt_baseline_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz,60000,0.24208474159240723,0.581818163394928,0.19734370708465576,0.19734370708465576,0.24208474159240723,0.19734370708465576,0.5933636691347288,0.2102011879686589,0.1970884679169688,0.33215459282226123,0.010730958107688253,0.030156254768371582,0.053750038146972656,197,84000,1.5499999523162842,1.041150838136673,0.19734370708465576,0.19734370708465576,1.041150838136673,0.19734370708465576,1.2718303516680822,1.650724664974144,0.2597556899147244,0.20423768749821009,0.015506017355517505,0.03750002384185791,0.10484373569488525,163,4705,0.03005831865184577,0.025156259536743164,0.80859375,7531,0.14902647615992826,0.050156235694885254,0.453125,18379,0.3230762585730921,0.19296878576278687,0.38671875,13144,0.11948701443664543,0.05515623092651367,0.58203125,32387,0.4992320023555105,0.19734370708465576,0.70703125
0013_01_frame001,posthoc,posthoc_surfel_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\posthoc_surfel_only\predictions.npz,60000,0.25561901181936264,0.5937104821205139,0.19734370708465576,0.19734370708465576,0.25561901181936264,0.19734370708465576,0.6078416699039814,0.22250415065628887,0.19687929457547745,0.32389897620309216,0.010613505336144628,0.030156254768371582,0.053750038146972656,186,84000,1.5499999523162842,1.0531508326530457,0.19734370708465576,0.19734370708465576,1.0531508326530457,0.19734370708465576,1.2839749899792412,1.6506085784765323,0.25887431902712843,0.2016194404466662,0.015435948051123227,0.03750002384185791,0.10484373569488525,164,4705,0.0547193029139208,0.025156259536743164,0.7734375,7531,0.1581719368637503,0.050156235694885254,0.546875,18379,0.31538699591566344,0.19296878576278687,0.4375,13144,0.13325071501557118,0.05515623092651367,0.65625,32387,0.4949540184903817,0.19734370708465576,0.734375
0013_01_frame001,same_topology,same_topology_no_semantic,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\same_topology_no_semantic\predictions.npz,60000,0.24890287220478058,0.5556290447711945,0.07966041564941406,0.07966041564941406,0.24890287220478058,0.07966041564941406,0.5562426198107786,0.24786778016484867,0.07423055467440118,0.13344995876017693,0.010166350177534636,0.025489389896392822,0.05193406343460083,189,84000,1.5499999523162842,1.0320013761520386,0.20162928104400635,0.20162928104400635,1.0320013761520386,0.20162928104400635,1.2454227837625085,1.6528400316739815,0.22765804458673913,0.18279579236455626,0.016139242428908997,0.03130142390727997,0.10238273441791534,162,4705,0.13063906987924936,0.07732629776000977,0.7421875,7531,0.12979912838578003,0.0755191445350647,0.71875,18379,0.12991349388505388,0.07861846685409546,0.7265625,13144,0.13092898886458096,0.07870352268218994,0.7265625,32387,0.1340979074536257,0.07876306772232056,0.74609375
0013_01_frame001,tiny,tiny_synthetic_token_control,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\tiny_synthetic_token_control\predictions.npz,60000,0.27118588984012604,0.581818163394928,0.19734370708465576,0.19734370708465576,0.27118588984012604,0.19734370708465576,0.5973648239791503,0.2454305612260255,0.19691864156232675,0.3296455259126536,0.010677855935090491,0.030156254768371582,0.053750038146972656,185,84000,1.5499999523162842,1.041150838136673,0.19734370708465576,0.19734370708465576,1.041150838136673,0.19734370708465576,1.277278924983921,1.6495257470385896,0.26000394576382024,0.20356082033303205,0.015415363814552026,0.03750002384185791,0.10484373569488525,165,4705,0.027104600209335215,0.025156259536743164,0.56640625,7531,0.14367454042076666,0.050156235694885254,0.41796875,18379,0.32132734355701487,0.19296878576278687,0.41796875,13144,0.115825464307521,0.05515623092651367,0.546875,32387,0.5003674294641425,0.19734370708465576,0.70703125
0013_01_frame001,shuffled,shuffled_smpl_feature,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\shuffled_smpl_feature\predictions.npz,60000,0.26691681146621704,0.5911699533462524,0.22230565547943115,0.22230565547943115,0.26691681146621704,0.22230565547943115,0.5976759854511526,0.25664832071305727,0.23307347426117317,0.38996626924074734,0.013256562356243841,0.0293826162815094,0.05515623092651367,213,84000,1.5499999523162842,1.0501779317855835,0.22230565547943115,0.22230565547943115,1.0501779317855835,0.22230565547943115,1.271157151177602,1.6519605816594867,0.2518113831771375,0.1980961857814819,0.016437900962559888,0.036875009536743164,0.10484373569488525,163,4705,0.35774027696820504,0.21613943576812744,0.59765625,7531,0.3763639424887823,0.21636497974395752,0.65234375,18379,0.4076179793492475,0.21824318170547485,0.8125,13144,0.39040376723490994,0.21636497974395752,0.71484375,32387,0.16540297887924532,0.12015622854232788,0.71875
0021_03_frame001,baseline,real_vggt_baseline_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,60000,0.5143084973096848,0.6140038669109344,0.20640623569488525,0.20640623569488525,0.5143084973096848,0.20640623569488525,0.6694987136269815,0.3909093100197337,0.22091147113879822,0.3299654900634827,0.021135213078962215,0.014375030994415283,0.053124964237213135,157,84000,1.5499999523162842,1.193230152130127,0.21296876668930054,0.21296876668930054,1.193230152130127,0.21296876668930054,1.6238054576037628,1.3498185548873325,0.2723634564344024,0.1677315808731959,0.02553950078149508,0.05031251907348633,0.14031249284744263,174,2382,0.4333042875837259,0.08390623331069946,0.578125,9044,0.17434144664453927,0.08687496185302734,0.51171875,15108,0.33765302828930316,0.1928125023841858,0.37890625,15737,0.32869546776274944,0.13093745708465576,0.55078125,31550,0.5622195870413886,0.20640623569488525,0.6328125
0021_03_frame001,posthoc,posthoc_surfel_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\posthoc_surfel_only\predictions.npz,60000,0.5175263360142708,0.6257288753986359,0.20640623569488525,0.20640623569488525,0.5175263360142708,0.20640623569488525,0.6858840071214756,0.3889619438077456,0.22204132847869995,0.32373014412533846,0.020777645835644155,0.014375030994415283,0.053124964237213135,157,84000,1.5499999523162842,1.193230152130127,0.21296876668930054,0.21296876668930054,1.193230152130127,0.21296876668930054,1.624072756913184,1.3511350265789055,0.272902876691599,0.16803611508778435,0.02548595665312405,0.05031251907348633,0.14031249284744263,174,2382,0.49451447245682095,0.08390623331069946,0.59375,9044,0.18923223456692256,0.08687496185302734,0.54296875,15108,0.32300499033968255,0.1928125023841858,0.3828125,15737,0.3267388675766656,0.13093745708465576,0.578125,31550,0.5427086527353686,0.20640623569488525,0.625
0021_03_frame001,same_topology,same_topology_no_semantic,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\same_topology_no_semantic\predictions.npz,60000,0.5245715230703354,0.5776901543140411,0.07373881340026855,0.07373881340026855,0.5245715230703354,0.07373881340026855,0.5787452062426715,0.5247702022822925,0.0682564549667238,0.11793869604529122,0.007858012539053924,0.019759833812713623,0.05408850014209743,138,84000,1.5499999523162842,1.193230152130127,0.24731773138046265,0.24731773138046265,1.193230152130127,0.24731773138046265,1.6175154883202945,1.3285152468034285,0.2455491383390957,0.15180635988474253,0.02786973941137148,0.0417446494102478,0.15897683501243587,178,2382,0.11827456824434368,0.07351952791213989,0.5,9044,0.11710945433350736,0.07297581434249878,0.51953125,15108,0.1187040824954766,0.07311481237411499,0.52734375,15737,0.11673165007844095,0.07364779710769653,0.5234375,31550,0.11752387460346005,0.07365143299102783,0.53125
0021_03_frame001,tiny,tiny_synthetic_token_control,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,60000,0.5509771704673767,0.6140038669109344,0.20640623569488525,0.20640623569488525,0.5509771704673767,0.20640623569488525,0.6781873322044736,0.3798736040547531,0.22204044458378627,0.3274028193095784,0.020817693095536834,0.014375030994415283,0.053124964237213135,149,84000,1.5499999523162842,1.193230152130127,0.21296876668930054,0.21296876668930054,1.193230152130127,0.21296876668930054,1.6241689088209796,1.3514998859089746,0.2725685304941948,0.1678203104454563,0.025369521957244918,0.05031251907348633,0.14031249284744263,173,2382,0.3840990587248071,0.08390623331069946,0.4765625,9044,0.16083774938375878,0.08687496185302734,0.4609375,15108,0.3216727220753007,0.1928125023841858,0.36328125,15737,0.31670571530408387,0.13093745708465576,0.5,31550,0.5575850347890904,0.20640623569488525,0.60546875
0021_03_frame001,shuffled,shuffled_smpl_feature,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\shuffled_smpl_feature\predictions.npz,60000,0.5809371620416641,0.6760250627994537,0.25167518854141235,0.25167518854141235,0.5809371620416641,0.25167518854141235,0.7957228901514646,0.5371489353421445,0.25245434734750627,0.3172641512165774,0.027680051275617394,0.014851629734039307,0.07809428274631502,176,84000,1.5499999523162842,1.193230152130127,0.25823771953582764,0.25823771953582764,1.193230152130127,0.25823771953582764,1.619954875368772,1.337223646989051,0.25904240195842637,0.15990717142627636,0.02887897193692814,0.04968750476837158,0.16097802817821505,184,2382,0.38269225890953323,0.25167518854141235,0.45703125,9044,0.3498328003628042,0.2509860396385193,0.53515625,15108,0.3655222097287568,0.2516276240348816,0.59765625,15737,0.33541467791725416,0.2509860396385193,0.5390625,31550,0.3367849987466642,0.1951562762260437,0.609375
current_v895_0021_03,baseline,real_vggt_baseline_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,60000,0.5118895024061203,0.6140038669109344,0.20656251907348633,0.20656251907348633,0.5118895024061203,0.20656251907348633,0.6707882384389023,0.38777226340100635,0.22103342630092332,0.32951297240292293,0.022347418462172024,0.01750004291534424,0.053750038146972656,156,84000,1.5499999523162842,1.2052224278450012,0.21500003337860107,0.21500003337860107,1.2052224278450012,0.21500003337860107,1.5781768617846748,1.3326953504059835,0.25816580796048116,0.16358483907091087,0.025920271501269358,0.04953122138977051,0.13468748331069946,178,2388,0.4251337777984082,0.08359378576278687,0.5625,9055,0.17559362604737785,0.08703124523162842,0.51171875,14996,0.3411143552261506,0.1956249475479126,0.37109375,16018,0.3245548608269045,0.13062500953674316,0.55859375,31205,0.577638292888875,0.20656251907348633,0.6015625
current_v895_0021_03,posthoc,posthoc_surfel_only,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,60000,0.520794078707695,0.6257288753986359,0.20656251907348633,0.20656251907348633,0.520794078707695,0.20656251907348633,0.6869126609516313,0.38687716006791406,0.22212876834133388,0.3233726512386631,0.021972823249010835,0.01750004291534424,0.053750038146972656,155,84000,1.5499999523162842,1.2052224278450012,0.21500003337860107,0.21500003337860107,1.2052224278450012,0.21500003337860107,1.5781831805294262,1.3343311801537963,0.25815623189145975,0.163578116327952,0.025870622291462156,0.04953122138977051,0.13468748331069946,178,2388,0.49954009357733054,0.08359378576278687,0.58203125,9055,0.1907018323557992,0.08703124523162842,0.55859375,14996,0.3278881713227817,0.1956249475479126,0.3828125,16018,0.3271357504889258,0.13062500953674316,0.5859375,31205,0.5555216440951682,0.20656251907348633,0.625
current_v895_0021_03,same_topology,same_topology_no_semantic,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,60000,0.5137592032551765,0.5580711960792542,0.07777547836303711,0.07777547836303711,0.5137592032551765,0.07777547836303711,0.5601309781922945,0.5139108786445171,0.07261068816606601,0.12963162366131187,0.009116044165050772,0.022078275680541992,0.05831095576286316,130,84000,1.5499999523162842,1.2052224278450012,0.2506227493286133,0.2506227493286133,1.2052224278450012,0.2506227493286133,1.5762253113260762,1.3057173431158247,0.23501819093940796,0.14910190139104382,0.02806201153382092,0.04203489422798157,0.15465855598449707,180,2388,0.12714827121564726,0.07731235027313232,0.49609375,9055,0.12825457008552468,0.07753664255142212,0.51171875,14996,0.12935772542270044,0.0776824951171875,0.50390625,16018,0.1289496376334831,0.07758235931396484,0.5078125,31205,0.1303551441604731,0.07774049043655396,0.5078125
current_v895_0021_03,tiny,tiny_synthetic_token_control,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,60000,0.5466005355119705,0.6140038669109344,0.20656251907348633,0.20656251907348633,0.5466005355119705,0.20656251907348633,0.6792004419326634,0.37658544326527627,0.2223262972880703,0.3273353248349505,0.022034041904881504,0.01750004291534424,0.053750038146972656,148,84000,1.5499999523162842,1.2052224278450012,0.21500003337860107,0.21500003337860107,1.2052224278450012,0.21500003337860107,1.578194195546267,1.3352476102707822,0.2579132013649405,0.16342298184392187,0.02576291908281873,0.04953122138977051,0.13468748331069946,178,2388,0.39125857412128917,0.08359378576278687,0.48046875,9055,0.1621807377321287,0.08703124523162842,0.4765625,14996,0.32456534825259603,0.1956249475479126,0.3671875,16018,0.31688621021835295,0.13062500953674316,0.51953125,31205,0.5676279649678656,0.20656251907348633,0.59765625
current_v895_0021_03,shuffled,shuffled_smpl_feature,True,D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,60000,0.5801839232444763,0.6798312067985535,0.25313079357147217,0.25313079357147217,0.5801839232444763,0.25313079357147217,0.7988097232675333,0.5313594400567035,0.2547316077319084,0.3188889673124259,0.03028589103918594,0.017367243766784668,0.08108052909374242,169,84000,1.5499999523162842,1.2052224278450012,0.2615683078765869,0.2615683078765869,1.2052224278450012,0.2615683078765869,1.577173755552626,1.3169033252120514,0.2510218959977837,0.15915931590544893,0.02928629154487054,0.04921877384185791,0.1573657006025314,186,2388,0.42337313613435246,0.2527974247932434,0.44921875,9055,0.401286012756897,0.25313079357147217,0.56640625,14996,0.36837747951980904,0.25231415033340454,0.59765625,16018,0.35619582848607195,0.25313079357147217,0.54296875,31205,0.2558787856344224,0.1589062213897705,0.60546875
