case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,mean_thin_axis_layers,anti_billboard_score,billboard_score,billboard_fail
0012_11_frame001,topology_volume_occupancy_true,0.46068889144799313,0.04030881379629019,131,0.4961832061068702,0.19083969465648856,2.549618320610687,0.438206106870229,0.561793893129771,True
0012_11_frame001,real_vggt_baseline_only,0.35827478755344805,0.01671019408736304,139,0.1223021582733813,0.03597122302158273,1.4892086330935252,0.13321942446043167,0.8667805755395683,True
0012_11_frame001,posthoc_surfel_only,0.35295132937629675,0.01646345383770304,135,0.1925925925925926,0.037037037037037035,1.6222222222222222,0.18138888888888888,0.8186111111111112,True
0012_11_frame001,same_topology_no_semantic,0.15739636119859873,0.008973168734849346,132,0.8257575757575758,0.42424242424242425,3.492424242424242,0.7315340909090909,0.26846590909090906,False
0012_11_frame001,tiny_synthetic_token_control,0.35818457888962696,0.01669086222981672,131,0.13740458015267176,0.05343511450381679,1.5572519083969465,0.14916030534351143,0.8508396946564886,True
0012_11_frame001,shuffled_smpl_feature,0.42806587854574085,0.022366011756291333,141,0.574468085106383,0.1276595744680851,2.631205673758865,0.47359929078014185,0.5264007092198582,False
0012_11_frame001,thickness_only_control,0.43396810692337995,0.04425350873284789,137,0.1897810218978102,0.10218978102189781,1.8759124087591241,0.2041788321167883,0.7958211678832117,True
0013_01_frame001,topology_volume_occupancy_true,0.42998081521154397,0.028641719915700647,154,0.37662337662337664,0.16233766233766234,2.331168831168831,0.3498538961038961,0.6501461038961038,True
0013_01_frame001,real_vggt_baseline_only,0.33215459282226123,0.010730958107688253,165,0.1393939393939394,0.05454545454545454,1.4242424242424243,0.14634848484848487,0.8536515151515152,True
0013_01_frame001,posthoc_surfel_only,0.32389897620309216,0.010613505336144628,160,0.1375,0.0625,1.50625,0.149828125,0.850171875,True
0013_01_frame001,same_topology_no_semantic,0.13344995876017693,0.010166350177534636,139,0.9496402877697842,0.7985611510791367,4.532374100719425,0.9184172661870503,0.08158273381294967,False
0013_01_frame001,tiny_synthetic_token_control,0.3296455259126536,0.010677855935090491,150,0.13333333333333333,0.05333333333333334,1.5066666666666666,0.14496666666666666,0.8550333333333333,True
0013_01_frame001,shuffled_smpl_feature,0.38996626924074734,0.013256562356243841,161,0.6583850931677019,0.2236024844720497,2.9130434782608696,0.5587732919254659,0.4412267080745341,False
0013_01_frame001,thickness_only_control,0.4223742724754062,0.027292374135193632,154,0.18831168831168832,0.09740259740259741,1.7272727272727273,0.19724025974025977,0.8027597402597402,True
0021_03_frame001,topology_volume_occupancy_true,0.4053611575715741,0.039106561021232326,124,0.5887096774193549,0.3790322580645161,3.1129032258064515,0.5609274193548387,0.4390725806451613,False
0021_03_frame001,real_vggt_baseline_only,0.3299654900634827,0.021135213078962215,130,0.2846153846153846,0.14615384615384616,2.0692307692307694,0.28025,0.71975,True
0021_03_frame001,posthoc_surfel_only,0.32373014412533846,0.020777645835644155,125,0.296,0.192,2.144,0.3012,0.6988,True
0021_03_frame001,same_topology_no_semantic,0.11793869604529122,0.007858012539053924,103,0.7281553398058253,0.49514563106796117,3.5436893203883497,0.6904126213592234,0.30958737864077657,False
0021_03_frame001,tiny_synthetic_token_control,0.3274028193095784,0.020817693095536834,134,0.31343283582089554,0.14925373134328357,2.0522388059701493,0.298339552238806,0.7016604477611941,True
0021_03_frame001,shuffled_smpl_feature,0.3172641512165774,0.027680051275617394,117,0.5384615384615384,0.28205128205128205,2.7948717948717947,0.4951923076923077,0.5048076923076923,False
0021_03_frame001,thickness_only_control,0.3885950871270487,0.05092584507311083,129,0.32558139534883723,0.1937984496124031,2.294573643410853,0.32488372093023254,0.6751162790697675,True
current_v895_0021_03,topology_volume_occupancy_true,0.4043950573944332,0.04020693924715451,125,0.608,0.448,3.152,0.5913999999999999,0.4086000000000001,False
current_v895_0021_03,real_vggt_baseline_only,0.32951297240292293,0.022347418462172024,129,0.3023255813953488,0.13178294573643412,2.0387596899224807,0.2866472868217054,0.7133527131782946,True
current_v895_0021_03,posthoc_surfel_only,0.3233726512386631,0.021972823249010835,127,0.2992125984251969,0.14960629921259844,2.094488188976378,0.29098425196850397,0.709015748031496,True
current_v895_0021_03,same_topology_no_semantic,0.12963162366131187,0.009116044165050772,102,0.6274509803921569,0.38235294117647056,3.303921568627451,0.5919852941176471,0.4080147058823529,False
current_v895_0021_03,tiny_synthetic_token_control,0.3273353248349505,0.022034041904881504,136,0.27205882352941174,0.13970588235294118,2.0588235294117645,0.27051470588235293,0.7294852941176471,True
current_v895_0021_03,shuffled_smpl_feature,0.3188889673124259,0.03028589103918594,113,0.5221238938053098,0.3274336283185841,2.7787610619469025,0.4958849557522124,0.5041150442477875,False
current_v895_0021_03,thickness_only_control,0.3885776878673228,0.0526328228106145,133,0.3157894736842105,0.18796992481203006,2.2330827067669174,0.3153571428571429,0.6846428571428571,True
